Year,formatted_title,Human extract words,SpaCy Extracted Words
2013,"A Cross-Task Flexible Transition Model For Arabic Tokenization, Affix Detection, Affix Labeling, Pos Tagging, And Dependency Parsing","cross-task flexible transition model, arabic tokenization, affix detection, affix labeling, pos tagging, dependency parsing",crosstask flexible transition model for arabic tokenization
2019,Run Through The Streets: A New Dataset And Baseline Models For Realistic Urban Navigation,"new dataset, baseline models, realistic urban navigation",baseline models for realistic urban navigation
2001,Automatic Verb Classification Using Multilingual Resources,"automatic verb classification, multilingual resources",
2006,Multi-Domain Spoken Dialogue System With Extensibility And Robustness Against Speech Recognition Errors,"multi-domain spoken dialogue system, extensibility, robustness, speech recognition errors",
2021,Lexical Meanings Of Ditransitive Verbs In Japanese,"lexical meanings, ditransitive verbs",japanese
2018,Annotation En Actes De Dialogue Pour Les Conversations D'Assistance En Ligne (Dialog Acts Annotations For Online Chats),,"online chats, pour les"
2019,Michael: Mining Character-Level Patterns For Arabic Dialect Identification (Madar Challenge),"mining character-level patterns, arabic dialect identification","arabic dialect identification madar challenge, michael"
2018,Cuni Nmt System For Wat 2018 Translation Tasks,cuni nmt system,cuni nmt system
2012,Linguistic Resources For Handwriting Recognition And Translation Evaluation,"linguistic resources, handwriting recognition, translation evaluation",linguistic resources for handwriting recognition and translation evaluation
2001,Issues In Chinese Prosody : Conceptual Foundations Of A Linguistically-Motivated Text-To-Speech System For Mandarin,"conceptual foundations, a linguistically-motivated text-to-speech system","mandarin, conceptual foundations of a linguisticallymotivated texttospeech system, chinese"
1993,Book Reviews: Natural Language Processing: The Plnlp Approach,"natural language processing, the plnlp approach",
2014,A Cascade Approach For Complex-Type Classification,"cascade approach, complex-type classification",complextype classification
2021,Mod\'Eliser La Perception Des Genres Musicaux \`A Travers Diff\'Erentes Cultures \`A Partir De Ressources Linguistiques (Modeling The Music Genre Perception Across Language-Bound Cultures ),"the music genre perception, language-bound cultures","the music genre perception across languagebound cultures, cultures a, la perception des genres musicaux a"
2011,Multi-Domain Cross-Lingual Information Extraction From Clean And Noisy Texts,"cross-lingual information, clean and noisy texts",multidomain crosslingual information extraction from clean and noisy texts
2017,Identifying The Provision Of Choices In Privacy Policy Text,"privacy policy text, identifying the provision of choices",the provision of choices in privacy
2018,Evaluating Discourse Phenomena In Neural Machine Translation,"evaluating discourse phenomena, neural machine translation",
2021,Think Before You Speak: Learning To Generate Implicit Knowledge For Response Generation By Self-Talk,"generate implicit knowledge, response generation by self-talk",
2017,Projecting Multiword Expression Resources On A Polish Treebank,"multiword expression resources, a polish treebank","multiword expression resources, polish"
2020,Learning Constraints For Structured Prediction Using Rectifier Networks,"structured prediction, rectifier networks",
2012,Incremental Learning Of Affix Segmentation,incremental learning ,incremental learning of affix segmentation
2012,Construction Of The Turkish National Corpus (Tnc),turkish national corpus,
2014,An Unsupervised Model For Instance Level Subcategorization Acquisition,"unsupervised model, instance level subcategorization acquisition",
2016,Bridging The Gap Between Extractive And Abstractive Summaries: Creation And Evaluation Of Coherent Extracts From Heterogeneous Sources,"extractive and abstractive summaries, creation and evaluation of coherent, heterogeneous sources",
2006,An Automatic Method For Summary Evaluation Using Multiple Evaluation Results By A Manual Method,"automatic method, summary evaluation, multiple evaluation results, manual method",
2017,Hierarchical Word Structure-Based Parsing: A Feasibility Study On Ud-Style Dependency Parsing In Japanese,"hierarchical word structure-based parsing, ud-style dependency parsing",japanese
2022,Equivariant Transduction Through Invariant Alignment,"equivariant transduction, invariant alignment",
2016,Modeling Language Change In Historical Corpora: The Case Of Portuguese,"historical corpora, the case of portuguese","portuguese, modeling language change in historical corpora"
2009,"Proceedings Of The Workshop On Software Engineering, Testing, And Quality Assurance For Natural Language Processing (Setqa-Nlp 2009)",natural language processing,quality assurance for natural language processing
2022,Choose Your Lenses: Flaws In Gender Bias Evaluation,gender bias evaluation,
1994,Using A Textual Representation Level Component In The Context Of Discourse And Dialogue Generation,"a textual representation level component,  context of discourse, dialogue generation",
2021,Modeling Content And Context With Deep Relational Learning,"modeling content, deep relational learning",modeling
2020,Unsupervised Keyword Extraction For Full-Sentence Vqa,"unsupervised keyword extraction, full-sentence vqa",unsupervised keyword extraction for fullsentence vqa
2009,Bayesian Learning Of A Tree Substitution Grammar,"bayesian learning, a tree substitution grammar",bayesian learning of a tree substitution
2022,Director: Generator-Classifiers For Supervised Language Modeling,"generator-classifiers, supervised language modeling",generatorclassifiers for supervised language modeling
2015,Evaluating The Performance Of Automated Text Scoring Systems,automated text scoring systems,
2017,Twitter Language Identification Of Similar Languages And Dialects Without Ground Truth,"language identification, similar languages and dialects, ground truth",
2008,The ``Close-Distant'' Relation Of Adjectival Concepts Based On Self-Organizing Map,"adjectival concepts, self-organizing map",
1998,Tipster Phase Iii Accomplishments,,tipster phase iii accomplishments
2008,A Comparative Cross-Domain Study Of The Occurrence Of Laughter In Meeting And Seminar Corpora,"comparative cross-domain study, the occurrence of laughter, meeting and seminar corpora","seminar corpora, comparative crossdomain study of the occurrence of laughter in meeting"
2020,A Sentiment-Controllable Topic-To-Essay Generator With Topic Knowledge Graph,"sentiment-controllable topic-to-essay generator, topic knowledge graph",
2015,Perceptually Grounded Selectional Preferences,"perceptually grounded, selectional preferences",perceptually grounded selectional preferences
2015,Novel Document Level Features For Statistical Machine Translation,"novel document level, statistical machine translation",
2013,"What Is In A Text, What Isn'T, And What This Has To Do With Lexical Semantics",lexical semantics,isnt
2011,Summarizing Decisions In Spoken Meetings,"summarizing decisions, spoken meetings",
1994,Annotation Of Atis Data,atis data,
2012,Rombac: The Romanian Balanced Annotated Corpus,annotated corpus,"rombac, the romanian balanced annotated"
2018,Representing Spatial Relations In Framenet,representing spatial relations,"representing spatial relations, framenet"
2013,Aligning Formal Meaning Representations With Surface Strings For Wide-Coverage Text Generation,"formal meaning representations, surface strings, wide-coverage text generation",
2012,Towards Automatic Topical Question Generation,topical question generation,
2021,Grounding Plural Phrases: Countering Evaluation Biases By Individuation,"grounding plural phrases, countering evaluation biases",
